"VS_F" "VS_NAZOV" "miestny" "preds" "sum" "FOS" "freq_pr" "freq_miestny" "Size" "stud_avg"
"92" "UK - Prírodovedecká fakulta" "Univerzita Komenského v Bratislave" 98 5 457 "Prírodné vedy" 0.0109409190371991 0.214442013129103 21.3775583264319 2759
"93" "UK - Rímskokatolícka cyrilometodská bohoslovecká fakulta" "Univerzita Komenského v Bratislave" 0 0 2 "Humanitné vedy" 0 0 1.4142135623731 246
"94" "UKF - Fakulta prírodných vied" "Univerzita Konštantína Filozofa v Nitre" 33 2 159 "Prírodné vedy" 0.0125786163522013 0.207547169811321 12.6095202129185 1438
"95" "UKF - Fakulta sociálnych vied a zdravotníctva" "Univerzita Konštantína Filozofa v Nitre" 17 0 41 "Spoločenské vedy" 0 0.414634146341463 6.40312423743285 1098.5
"96" "UKF - Fakulta stredoeurópskych štúdií" "Univerzita Konštantína Filozofa v Nitre" 5 1 34 "Spoločenské vedy" 0.0294117647058824 0.147058823529412 5.8309518948453 572
"97" "UKF - Filozofická fakulta" "Univerzita Konštantína Filozofa v Nitre" 30 24 90 "Humanitné vedy" 0.266666666666667 0.333333333333333 9.48683298050514 3382
"98" "UKF - mimo fakúlt" "Univerzita Konštantína Filozofa v Nitre" 1 0 1 "Humanitné vedy" 0 1 1 0
"99" "UKF - Pedagogická fakulta" "Univerzita Konštantína Filozofa v Nitre" 6 11 43 "Spoločenské vedy" 0.255813953488372 0.13953488372093 6.557438524302 2042
"100" "UMB - Ekonomická fakulta" "Univerzita Mateja Bela v Banskej Bystrici" 18 1 54 "Spoločenské vedy" 0.0185185185185185 0.333333333333333 7.34846922834953 2342
"101" "UMB - Fakulta politických vied a medzinárodných vzťahov" "Univerzita Mateja Bela v Banskej Bystrici" 2 0 4 "Spoločenské vedy" 0 0.5 2 796.5
"102" "UMB - Fakulta prírodných vied" "Univerzita Mateja Bela v Banskej Bystrici" 15 0 111 "Prírodné vedy" 0 0.135135135135135 10.5356537528527 913
"103" "UMB - Filozofická fakulta" "Univerzita Mateja Bela v Banskej Bystrici" 6 17 54 "Spoločenské vedy" 0.314814814814815 0.111111111111111 7.34846922834953 1907
"104" "UMB - Pedagogická fakulta" "Univerzita Mateja Bela v Banskej Bystrici" 0 1 19 "Spoločenské vedy" 0.0526315789473684 0 4.35889894354067 1520.5
"105" "UMB - Právnická fakulta" "Univerzita Mateja Bela v Banskej Bystrici" 0 0 1 "Spoločenské vedy" 0 0 1 993.5
"106" "UPJŠ - Fakulta verejnej správy" "Univerzita Pavla Jozefa Šafárika v Košiciach" 1 1 9 "Spoločenské vedy" 0.111111111111111 0.111111111111111 3 750
"107" "UPJŠ - Filozofická fakulta" "Univerzita Pavla Jozefa Šafárika v Košiciach" 5 0 30 "Humanitné vedy" 0 0.166666666666667 5.47722557505166 1598
"108" "UPJŠ - Lekárska fakulta" "Univerzita Pavla Jozefa Šafárika v Košiciach" 57 1 232 "Lekárske vedy" 0.00431034482758621 0.245689655172414 15.2315462117278 2810
"109" "UPJŠ - mimo fakúlt" "Univerzita Pavla Jozefa Šafárika v Košiciach" 42 7 336 "Prírodné vedy" 0.0208333333333333 0.125 18.3303027798234 132.5
"110" "UPJŠ - Právnická fakulta" "Univerzita Pavla Jozefa Šafárika v Košiciach" 0 1 13 "Spoločenské vedy" 0.0769230769230769 0 3.60555127546399 996
"111" "UPJŠ - Prírodovedecká fakulta" "Univerzita Pavla Jozefa Šafárika v Košiciach" 7 4 210 "Prírodné vedy" 0.019047619047619 0.0333333333333333 14.4913767461894 1115
"112" "UVLF - Nemá fakulty" "Univerzita veterinárskeho lekárstva a farmácie v Košiciach" 23 2 172 "Lekárske vedy" 0.0116279069767442 0.133720930232558 13.114877048604 2034
"113" "VŠBM - Nemá fakulty" "Vysoká škola bezpečnostného manažérstva v Košiciach" 3 0 6 "Spoločenské vedy" 0 0.5 2.44948974278318 1270.5
"114" "VŠDan - Fakulta verejnej politiky a verejnej správy" "Vysoká škola Danubius" 2 0 3 "Spoločenské vedy" 0 0.666666666666667 1.73205080756888 324
"115" "VŠDan - mimo fakúlt" "Vysoká škola Danubius" 0 0 2 "Spoločenské vedy" 0 0 1.4142135623731 0
"116" "VŠDTI - mimo fakúlt" "Vysoká škola DTI" 1 0 6 "Technické vedy" 0 0.166666666666667 2.44948974278318 0
"117" "VŠDTI - Ústav didaktiky, techniky a edukačných technológií" "Vysoká škola DTI" 0 0 2 "Spoločenské vedy" 0 0 1.4142135623731 2010.5
"118" "VŠDTI - Ústav odborných predmetov a informačných technológií" "Vysoká škola DTI" 0 0 7 "Technické vedy" 0 0 2.64575131106459 2010.5
"119" "VŠEMVS - Nemá fakulty" "Vysoká škola ekonómie a manažmentu verejnej správy v Bratislave" 4 2 22 "Spoločenské vedy" 0.0909090909090909 0.181818181818182 4.69041575982343 2801.5
"120" "VŠM - Nemá fakulty" "Vysoká škola manažmentu v Trenčíne" 0 0 8 "Spoločenské vedy" 0 0 2.82842712474619 885
"121" "VŠMU - Divadelná fakulta" "Vysoká škola múzických umení v Bratislave" 0 0 1 "Humanitné vedy" 0 0 1 280
